team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
LG,62558,김준태,1.0,2,2,1,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1.0,1.0,0,0.0,0,2.0,0.0,1.0,0,0.5,0.511,0.539,0.5,4
LG,54166,김현종,0.4,10,6,5,3,2,1,0,0,3,0,0,0,0,0,1,0,0,1,1,0.6,0.5,0,0.0,0,1.1,0.0,0.5,0,0.5,0.533,0.56,0.5,4
LG,65207,신민재,0.313,135,538,463,87,145,15,7,1,177,61,15,9,6,4,62,0,3,57,7,0.382,0.395,12,62.5,37,0.777,0.407,0.5,24,0.51,0.96,0.979,0.69,1
LG,53123,오스틴,0.313,116,499,425,82,133,25,1,31,253,95,3,0,0,11,61,7,2,62,11,0.595,0.393,8,100.0,38,0.988,0.292,0.0,3,0.81,0.889,0.911,0.524,0
LG,68119,문성주,0.305,135,542,475,57,145,20,2,3,178,70,4,3,0,9,54,0,4,59,10,0.375,0.375,1,57.1,43,0.75,0.321,0.167,7,0.53,0.953,0.942,0.556,2
LG,76290,김현수,0.298,140,552,483,66,144,24,0,12,204,90,4,0,0,1,64,1,4,73,10,0.422,0.384,4,100.0,36,0.806,0.362,0.4,4,0.62,0.965,0.972,0.532,0
LG,66108,홍창기,0.287,51,215,174,32,50,4,0,1,57,16,3,0,2,4,29,0,6,40,4,0.328,0.399,0,100.0,11,0.727,0.146,0.667,3,0.51,0.656,0.685,0.524,4
LG,69100,구본혁,0.286,131,397,343,41,98,16,2,1,121,38,10,5,12,0,36,1,6,44,4,0.353,0.364,6,66.7,26,0.717,0.299,0.333,15,0.51,0.921,0.909,0.619,2
LG,52103,최원영,0.282,119,115,103,37,29,5,0,0,34,2,8,4,3,1,4,0,4,20,4,0.33,0.33,1,66.7,2,0.66,0.174,0.667,12,0.5,0.849,0.765,0.595,2
LG,62415,박해민,0.276,144,544,442,80,122,18,2,3,153,43,49,14,22,4,68,0,8,94,7,0.346,0.379,1,77.8,29,0.725,0.231,0.0,63,0.53,0.961,0.967,1.0,1
LG,69102,문보경,0.276,141,607,515,91,142,21,1,24,237,108,3,1,0,9,79,3,4,108,15,0.46,0.371,16,75.0,38,0.831,0.274,0.333,4,0.74,0.952,0.952,0.532,2
LG,55164,박관우,0.264,39,58,53,12,14,2,0,2,22,13,0,0,0,1,3,0,1,11,1,0.415,0.31,1,0.0,0,0.725,0.294,0.368,0,0.52,0.609,0.595,0.5,4
LG,79109,오지환,0.253,127,472,419,57,106,24,1,16,180,62,9,7,7,6,37,0,3,115,4,0.43,0.314,9,56.3,27,0.744,0.283,0.333,16,0.66,0.872,0.774,0.627,2
LG,79365,박동원,0.253,139,523,451,57,114,25,0,22,205,76,4,0,3,5,62,4,2,124,10,0.455,0.342,8,100.0,27,0.797,0.235,0.143,4,0.72,0.916,0.873,0.532,2
LG,50054,천성호,0.237,83,199,173,24,41,9,2,1,57,17,3,1,4,0,17,0,5,29,2,0.329,0.323,4,75.0,8,0.652,0.25,0.154,4,0.51,0.739,0.725,0.532,3
LG,52154,이주헌,0.219,76,156,128,22,28,3,0,4,43,9,0,0,2,0,18,0,8,30,2,0.336,0.351,4,0.0,5,0.687,0.111,0.25,0,0.54,0.712,0.728,0.5,3
