team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS,speed,stamina,control,fireball,style
LG,50904,이종준,0.0,2,0,0,0,0,0,0,0.0,6,33,1.667,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.6,0.0,0,145.0,0.511,0.528,0.948,3
LG,77263,김강률,1.46,12,0,0,1,0,1,4,1.0,51,182,12.333,7,1,0,0,0,0,8,0,9,0,0,2,2,0,1.22,0.167,0,143.0,0.561,0.566,0.935,3
LG,61145,이우찬,1.89,23,0,0,0,1,0,0,0.0,86,338,19.0,13,2,0,0,1,0,14,0,20,3,0,6,4,0,1.42,0.186,0,142.0,0.641,0.636,0.928,3
LG,55167,김영우,2.4,66,0,0,3,2,1,7,0.6,255,957,60.0,49,13,0,2,5,2,30,2,56,5,0,17,16,3,1.32,0.228,0,151.0,0.871,0.858,0.987,0
LG,50106,유영찬,2.63,39,0,0,2,2,21,1,0.5,177,672,41.0,31,7,0,2,1,1,23,3,52,3,0,14,12,1,1.32,0.208,0,147.0,0.725,0.767,0.961,1
LG,55130,톨허스트,2.86,8,0,0,6,2,0,0,0.75,184,713,44.0,39,7,1,2,1,1,16,1,45,1,0,15,14,0,1.25,0.238,5,150.0,0.554,0.559,0.98,0
LG,61101,임찬규,3.03,27,1,1,11,7,0,0,0.611,670,2490,160.333,163,38,3,9,5,4,40,1,107,1,0,61,54,0,1.27,0.265,15,138.0,0.687,0.633,0.902,2
LG,55146,치리노스,3.31,30,0,0,13,6,0,0,0.684,737,2809,177.0,173,26,1,5,8,1,36,0,137,4,0,71,65,0,1.18,0.253,17,148.0,0.711,0.664,0.967,0
LG,67143,손주영,3.41,30,0,0,11,6,0,0,0.647,644,2496,153.0,153,20,2,8,5,3,49,0,132,6,0,67,58,0,1.32,0.262,14,145.0,0.708,0.665,0.948,2
LG,75867,김진성,3.44,78,0,0,6,4,1,33,0.6,291,1235,70.667,61,7,3,7,2,7,24,1,63,1,0,28,27,7,1.2,0.236,0,141.0,0.973,0.932,0.922,1
LG,51111,송승기,3.5,28,0,0,11,6,0,0,0.647,629,2523,144.0,149,25,1,15,5,4,49,0,125,2,0,61,56,0,1.38,0.261,10,143.0,0.705,0.653,0.935,2
LG,65109,백승현,3.9,33,0,0,1,0,0,2,1.0,146,583,30.0,28,3,1,2,2,1,28,1,27,3,0,13,13,0,1.87,0.246,0,146.0,0.722,0.641,0.954,2
LG,54119,에르난데스,4.23,14,0,0,4,4,0,0,0.5,276,1142,66.0,53,14,0,7,0,5,24,0,73,3,0,32,31,0,1.17,0.219,7,146.0,0.598,0.601,0.954,3
LG,63950,장현식,4.35,56,0,0,3,3,10,5,0.5,234,884,49.667,65,16,1,4,3,0,21,1,38,4,0,27,24,1,1.73,0.317,0,146.0,0.849,0.734,0.954,2
LG,51526,우강훈,4.66,11,0,0,0,0,0,0,0.0,46,180,9.667,12,2,0,0,0,1,6,0,5,0,0,5,5,0,1.86,0.324,0,146.0,0.569,0.541,0.954,3
LG,53139,박명근,4.89,44,0,0,3,4,4,10,0.429,168,638,38.667,36,5,1,5,2,1,16,2,30,0,1,21,21,1,1.34,0.25,0,145.0,0.754,0.716,0.948,2
LG,69134,이정용,5.03,39,0,0,6,1,1,7,0.857,139,575,34.0,32,3,1,3,1,0,12,0,26,0,0,19,19,1,1.29,0.258,0,142.0,0.728,0.697,0.928,2
LG,68419,최채흥,5.28,13,0,0,0,1,0,2,0.0,132,507,29.0,35,6,2,3,0,1,14,0,21,2,0,17,17,0,1.69,0.302,0,137.0,0.583,0.562,0.895,3
LG,69108,이지강,5.32,43,0,0,1,2,3,4,0.333,211,883,47.333,50,9,2,4,0,1,24,0,39,1,1,29,28,1,1.56,0.27,0,144.0,0.779,0.702,0.941,2
LG,55122,김종운,5.4,2,0,0,0,0,0,0,0.0,7,31,1.667,2,0,0,2,0,0,0,0,2,0,0,3,1,0,1.2,0.286,0,145.0,0.51,0.527,0.948,3
LG,63145,배재준,5.54,14,0,0,0,0,0,1,0.0,56,234,13.0,9,4,0,1,0,1,7,0,14,1,0,8,8,0,1.23,0.191,0,148.0,0.586,0.596,0.967,0
LG,63248,함덕주,6.0,31,0,0,2,3,0,1,0.4,113,463,27.0,14,5,0,1,4,3,18,0,26,3,0,19,18,0,1.19,0.159,0,138.0,0.683,0.681,0.902,2
LG,55138,코엔 윈,7.04,5,0,0,1,1,0,0,0.5,107,408,23.0,28,7,0,4,2,1,4,0,8,0,0,19,18,0,1.39,0.295,1,142.0,0.534,0.528,0.928,3
LG,51154,김진수,9.0,4,0,0,0,0,0,0,0.0,27,104,5.0,11,3,0,2,0,0,1,0,6,0,0,5,5,0,2.4,0.423,0,144.0,0.527,0.532,0.941,3
LG,68159,성동현,9.0,12,0,0,0,0,0,0,0.0,45,201,9.0,10,0,0,2,1,0,9,0,6,1,0,9,9,0,2.11,0.286,0,145.0,0.589,0.543,0.948,3
LG,64596,김유영,12.46,6,0,0,0,0,0,0,0.0,26,108,4.333,8,3,0,0,1,0,4,0,5,0,0,6,6,0,2.77,0.4,0,141.0,0.549,0.534,0.922,3
LG,55121,박시원,13.5,2,0,0,0,0,0,0,0.0,9,35,1.333,0,0,0,0,0,0,5,0,0,0,0,2,2,0,3.75,0.0,0,149.0,0.516,0.503,0.974,0
LG,69159,정우영,20.25,4,0,0,0,0,0,0,0.0,13,56,2.667,1,0,0,1,0,0,4,0,3,0,0,6,6,0,1.88,0.125,0,144.0,0.526,0.53,0.941,3
LG,65411,김주온,27.0,1,0,0,0,1,0,0,0.0,5,23,0.333,0,0,0,0,0,0,2,0,1,0,0,1,1,0,6.0,0.0,0,145.0,0.521,0.514,0.948,3
HH,55730,폰세,1.89,29,0,0,17,1,0,0,0.944,697,2854,180.667,128,18,0,10,3,4,41,0,252,7,3,41,38,0,0.94,0.199,20,151.0,0.705,0.742,0.987,0
HH,65769,김범수,2.25,73,0,0,2,1,2,6,0.667,195,780,48.0,30,5,0,0,2,1,22,1,41,1,0,17,12,0,1.08,0.181,0,145.0,0.91,0.901,0.948,1
HH,61666,한승혁,2.25,71,0,0,3,3,3,16,0.5,269,1002,64.0,56,5,1,4,2,0,23,1,53,3,0,18,16,5,1.23,0.236,0,146.0,0.892,0.872,0.954,1
HH,55743,정우주,2.85,51,0,0,3,0,0,3,1.0,228,1007,53.667,34,6,1,6,3,2,21,0,82,3,1,18,17,0,1.02,0.177,0,148.0,0.831,0.929,0.967,0
HH,54755,와이스,2.87,30,0,0,16,5,0,0,0.762,725,2837,178.667,127,30,1,13,4,6,56,0,207,5,2,63,57,0,1.02,0.197,21,149.0,0.711,0.715,0.974,0
HH,51715,김기중,3.07,5,0,0,0,1,0,0,0.0,66,259,14.667,16,2,1,0,0,1,6,0,8,1,0,5,5,0,1.5,0.276,0,141.0,0.532,0.53,0.922,3
HH,53754,김서현,3.14,69,0,0,2,4,33,2,0.333,280,1124,66.0,52,7,3,4,5,2,31,3,71,7,0,23,23,4,1.26,0.222,0,151.0,0.911,0.921,0.987,0
HH,76715,류현진,3.23,26,0,0,9,7,0,0,0.563,574,2268,139.333,144,22,3,12,5,0,25,2,122,2,0,54,50,0,1.21,0.267,12,142.0,0.681,0.654,0.928,2
HH,63765,김종수,3.25,63,0,0,4,5,0,5,0.444,282,1104,63.667,57,17,1,5,4,5,36,1,59,2,1,30,23,0,1.46,0.245,0,143.0,0.884,0.823,0.935,1
HH,52731,박준영,3.6,1,0,0,0,0,0,0,0.0,24,110,5.0,3,0,0,0,0,1,6,0,3,0,0,2,2,0,1.8,0.176,0,144.0,0.506,0.515,0.941,3
HH,69213,윤산흠,3.78,12,0,0,0,0,0,0,0.0,73,268,16.667,16,5,0,1,0,0,5,0,17,1,1,7,7,0,1.26,0.246,0,147.0,0.568,0.583,0.961,3
HH,60768,이태양,3.97,14,0,0,0,1,0,0,0.0,51,181,11.333,14,5,0,0,1,0,5,1,8,0,0,5,5,1,1.68,0.318,0,140.0,0.577,0.566,0.915,3
HH,52701,문동주,4.02,24,1,0,11,5,0,0,0.688,501,1947,121.0,112,16,5,7,3,4,31,0,135,11,0,57,54,0,1.18,0.243,11,150.0,0.664,0.666,0.98,0
HH,54768,조동욱,4.05,68,0,0,3,3,2,5,0.5,283,1068,60.0,77,16,0,4,2,2,29,3,43,7,1,29,27,1,1.77,0.313,0,142.0,0.924,0.761,0.928,1
HH,67703,박상원,4.19,74,0,0,4,3,0,16,0.571,294,1128,66.667,67,14,1,4,4,4,21,0,52,4,0,35,31,3,1.32,0.261,0,145.0,0.939,0.865,0.948,1
HH,65707,주현상,5.18,48,0,0,5,2,1,3,0.714,193,776,41.667,59,14,2,8,2,0,10,0,37,1,0,25,24,2,1.66,0.331,0,143.0,0.81,0.739,0.935,2
HH,54729,황준서,5.3,23,0,0,2,8,0,0,0.2,242,1012,56.0,54,11,4,7,0,2,26,2,57,1,0,37,33,0,1.43,0.255,2,142.0,0.653,0.637,0.928,2
HH,65056,엄상백,6.58,28,0,0,2,7,0,1,0.222,379,1540,80.667,106,18,3,13,3,3,38,0,74,3,0,60,59,0,1.79,0.324,2,143.0,0.701,0.637,0.935,2
HH,65117,이상규,8.0,5,0,0,0,1,0,0,0.0,47,155,9.0,16,2,1,0,0,0,4,0,5,0,0,9,8,0,2.22,0.372,0,142.0,0.53,0.524,0.928,3
HH,55764,권민규,8.44,5,0,0,0,0,0,0,0.0,28,129,5.333,5,1,0,1,0,1,7,0,4,0,0,5,5,0,2.25,0.25,0,139.0,0.539,0.525,0.908,3
HH,50705,강재민,9.0,4,0,0,0,0,0,0,0.0,20,92,4.0,6,1,0,1,0,1,2,0,5,0,0,4,4,0,2.0,0.375,0,141.0,0.529,0.534,0.922,3
HH,54702,원종혁,16.2,2,0,0,0,0,0,0,0.0,10,37,1.667,3,0,0,1,0,1,2,0,1,0,0,3,3,0,3.0,0.429,0,150.0,0.513,0.514,0.98,0
HH,50711,김승일,23.63,5,0,0,0,0,0,0,0.0,17,68,2.667,3,0,0,1,0,0,3,0,3,1,0,7,7,0,2.25,0.273,0,142.0,0.541,0.533,0.928,3
LT,62528,김원중,2.67,53,0,0,4,3,32,0,0.571,272,1117,60.667,58,11,2,4,4,1,33,6,69,7,1,21,18,6,1.5,0.25,0,144.0,0.842,0.816,0.941,1
LT,64017,심재민,3.0,4,0,0,1,0,0,0,1.0,15,48,3.0,5,1,0,0,0,0,1,0,2,1,0,2,1,0,2.0,0.357,0,140.0,0.521,0.526,0.915,3
LT,50596,홍민기,3.09,25,0,0,0,2,0,3,0.0,129,510,32.0,24,5,1,0,0,2,11,0,39,1,0,13,11,0,1.09,0.211,0,149.0,0.641,0.684,0.974,0
LT,55532,감보아,3.58,19,0,0,7,8,0,0,0.467,475,1866,108.0,97,16,0,6,6,5,49,0,117,5,0,54,43,0,1.35,0.236,11,151.0,0.64,0.623,0.987,0
LT,55536,데이비슨,3.65,22,0,0,10,5,0,0,0.667,529,2100,123.333,123,20,2,10,4,2,48,0,119,4,1,53,50,0,1.39,0.262,11,145.0,0.66,0.63,0.948,2
LT,68556,정성종,3.86,2,0,0,0,0,0,0,0.0,10,37,2.333,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1.29,0.3,0,142.0,0.509,0.517,0.928,3
LT,67539,나균안,3.87,28,0,0,3,7,0,0,0.3,601,2328,137.333,143,23,3,13,7,5,50,0,116,3,0,67,59,0,1.41,0.268,9,143.0,0.698,0.648,0.935,2
LT,54537,정현수,3.97,82,0,0,2,0,0,12,1.0,203,851,47.667,34,9,0,4,3,3,26,0,47,2,0,23,21,0,1.26,0.201,0,140.0,1.0,0.964,0.915,1
LT,65522,김강현,4.0,67,0,0,2,2,0,4,0.5,306,1135,72.0,69,15,1,9,2,4,21,0,36,4,0,37,32,0,1.25,0.254,0,143.0,0.876,0.765,0.935,1
LT,51594,송재영,4.0,46,0,0,1,0,0,3,1.0,121,491,27.0,19,4,0,3,1,2,24,0,28,2,0,13,12,0,1.59,0.202,0,140.0,0.786,0.738,0.915,2
LT,68242,정철원,4.24,75,0,0,8,3,0,21,0.727,312,1169,70.0,72,13,1,4,3,5,28,2,55,5,0,34,33,6,1.43,0.268,0,146.0,0.941,0.853,0.954,1
LT,55566,김태현,4.5,1,0,0,0,0,0,0,0.0,12,51,2.0,1,0,0,0,0,1,4,0,2,0,0,2,1,0,2.5,0.143,0,142.0,0.507,0.515,0.928,3
LT,64021,박세웅,4.93,29,0,0,11,13,0,0,0.458,722,2694,160.667,183,46,1,15,8,4,54,0,156,14,1,99,88,0,1.48,0.282,12,145.0,0.71,0.665,0.948,2
LT,52530,이민석,5.26,20,0,0,2,5,0,0,0.286,417,1596,87.333,104,13,2,10,3,4,56,0,61,2,0,56,51,0,1.83,0.295,4,148.0,0.647,0.58,0.967,0
