date,batting_order,game_id,hitter_id,pitcher_id,stadium
20250322,1,51,1,55730,수원
20250322,2,51,66704,1,수원
20250322,3,51,53764,1,수원
20250322,4,51,55734,1,수원
20250322,5,51,69737,1,수원
20250322,6,51,79192,1,수원
20250322,7,51,79608,1,수원
20250322,8,51,50704,1,수원
20250322,9,51,78288,1,수원
20250322,10,51,64006,1,수원
20250322,1,51,1,54354,수원
20250322,2,51,68050,1,수원
20250322,3,51,67025,1,수원
20250322,4,51,79240,1,수원
20250322,5,51,64004,1,수원
20250322,6,51,78548,1,수원
20250322,7,51,64007,1,수원
20250322,8,51,50054,1,수원
20250322,9,51,64166,1,수원
20250322,10,51,79402,1,수원
20250322,1,52,1,52528,잠실
20250322,2,52,50500,1,잠실
20250322,3,52,69517,1,잠실
20250322,4,52,51551,1,잠실
20250322,5,52,54529,1,잠실
20250322,6,52,52591,1,잠실
20250322,7,52,78513,1,잠실
20250322,8,52,50150,1,잠실
20250322,9,52,61102,1,잠실
20250322,10,52,62802,1,잠실
20250322,1,52,1,55146,잠실
20250322,2,52,66108,1,잠실
20250322,3,52,76290,1,잠실
20250322,4,52,53123,1,잠실
20250322,5,52,69102,1,잠실
20250322,6,52,79109,1,잠실
20250322,7,52,68110,1,잠실
20250322,8,52,79365,1,잠실
20250322,9,52,62415,1,잠실
20250322,10,52,69100,1,잠실
20250322,1,53,1,55912,광주
20250322,2,53,62907,1,광주
20250322,3,53,51907,1,광주
20250322,4,53,77532,1,광주
20250322,5,53,54944,1,광주
20250322,6,53,79215,1,광주
20250322,7,53,63963,1,광주
20250322,8,53,66965,1,광주
20250322,9,53,68912,1,광주
20250322,10,53,51344,1,광주
20250322,1,53,1,54640,광주
20250322,2,53,64646,1,광주
20250322,3,53,52605,1,광주
20250322,4,53,62947,1,광주
20250322,5,53,55645,1,광주
20250322,6,53,72443,1,광주
20250322,7,53,78603,1,광주
20250322,8,53,63260,1,광주
20250322,9,53,78122,1,광주
20250322,10,53,66606,1,광주
20250322,1,54,1,55257,문학
20250322,2,54,53554,1,문학
20250322,3,54,78224,1,문학
20250322,4,54,76232,1,문학
20250322,5,54,55208,1,문학
20250322,6,54,63123,1,문학
20250322,7,54,64153,1,문학
20250322,8,54,50208,1,문학
20250322,9,54,66928,1,문학
20250322,10,54,79231,1,문학
20250322,1,54,1,54833,문학
20250322,2,54,50854,1,문학
20250322,3,54,54812,1,문학
20250322,4,54,53827,1,문학
20250322,5,54,62895,1,문학
20250322,6,54,79456,1,문학
20250322,7,54,67893,1,문학
20250322,8,54,69813,1,문학
20250322,9,54,51868,1,문학
20250322,10,54,54805,1,문학
20250322,1,55,1,55322,대구
20250322,2,55,65357,1,대구
20250322,3,55,52366,1,대구
20250322,4,55,50167,1,대구
20250322,5,55,54444,1,대구
20250322,6,55,76267,1,대구
20250322,7,55,64984,1,대구
20250322,8,55,55393,1,대구
20250322,9,55,50357,1,대구
20250322,10,55,62332,1,대구
20250322,1,55,1,53375,대구
20250322,2,55,50458,1,대구
20250322,3,55,52415,1,대구
20250322,4,55,62404,1,대구
20250322,5,55,74540,1,대구
20250322,6,55,54400,1,대구
20250322,7,55,75125,1,대구
20250322,8,55,65586,1,대구
20250322,9,55,52430,1,대구
20250322,10,55,61404,1,대구
20250323,1,56,1,54755,수원
20250323,2,56,66704,1,수원
20250323,3,56,53764,1,수원
20250323,4,56,55734,1,수원
20250323,5,56,69737,1,수원
20250323,6,56,79192,1,수원
20250323,7,56,54795,1,수원
20250323,8,56,50704,1,수원
20250323,9,56,78288,1,수원
20250323,10,56,64006,1,수원
20250323,1,56,1,69032,수원
20250323,2,56,68050,1,수원
20250323,3,56,67025,1,수원
20250323,4,56,79240,1,수원
20250323,5,56,64004,1,수원
20250323,6,56,78548,1,수원
20250323,7,56,64007,1,수원
20250323,8,56,50054,1,수원
20250323,9,56,64166,1,수원
20250323,10,56,79402,1,수원
20250323,1,57,1,64021,잠실
20250323,2,57,52591,1,잠실
20250323,3,57,50150,1,잠실
20250323,4,57,78513,1,잠실
20250323,5,57,54529,1,잠실
20250323,6,57,51551,1,잠실
20250323,7,57,60523,1,잠실
20250323,8,57,61102,1,잠실
20250323,9,57,69517,1,잠실
20250323,10,57,68205,1,잠실
20250323,1,57,1,67143,잠실
20250323,2,57,66108,1,잠실
20250323,3,57,76290,1,잠실
20250323,4,57,53123,1,잠실
20250323,5,57,69102,1,잠실
20250323,6,57,79109,1,잠실
20250323,7,57,68110,1,잠실
20250323,8,57,79365,1,잠실
20250323,9,57,62415,1,잠실
20250323,10,57,69100,1,잠실
20250323,1,58,1,55903,광주
20250323,2,58,62907,1,광주
20250323,3,58,51907,1,광주
20250323,4,58,77532,1,광주
20250323,5,58,54944,1,광주
20250323,6,58,79215,1,광주
20250323,7,58,63963,1,광주
20250323,8,58,69995,1,광주
20250323,9,58,68912,1,광주
20250323,10,58,51344,1,광주
20250323,1,58,1,77637,광주
20250323,2,58,64646,1,광주
20250323,3,58,66606,1,광주
20250323,4,58,62947,1,광주
20250323,5,58,55645,1,광주
20250323,6,58,72443,1,광주
20250323,7,58,78603,1,광주
20250323,8,58,63260,1,광주
20250323,9,58,68646,1,광주
20250323,10,58,52667,1,광주
20250323,1,59,1,55239,문학
20250323,2,59,53554,1,문학
20250323,3,59,78224,1,문학
20250323,4,59,76232,1,문학
20250323,5,59,55208,1,문학
20250323,6,59,63123,1,문학
20250323,7,59,64153,1,문학
20250323,8,59,66928,1,문학
20250323,9,59,67207,1,문학
20250323,10,59,79231,1,문학
20250323,1,59,1,77829,문학
20250323,2,59,50854,1,문학
20250323,3,59,54812,1,문학
20250323,4,59,53827,1,문학
20250323,5,59,62895,1,문학
20250323,6,59,79456,1,문학
20250323,7,59,69813,1,문학
20250323,8,59,51868,1,문학
20250323,9,59,66864,1,문학
20250323,10,59,54805,1,문학
20250323,1,60,1,64350,대구
20250323,2,60,52366,1,대구
20250323,3,60,50167,1,대구
20250323,4,60,54444,1,대구
20250323,5,60,65357,1,대구
20250323,6,60,53344,1,대구
20250323,7,60,76267,1,대구
20250323,8,60,55393,1,대구
20250323,9,60,54305,1,대구
20250323,10,60,50357,1,대구
20250323,1,60,1,77446,대구
20250323,2,60,50458,1,대구
20250323,3,60,62234,1,대구
20250323,4,60,62404,1,대구
20250323,5,60,74540,1,대구
20250323,6,60,54400,1,대구
20250323,7,60,75125,1,대구
20250323,8,60,61404,1,대구
20250323,9,60,52430,1,대구
20250323,10,60,52415,1,대구
20250325,1,61,1,76715,잠실
20250325,2,61,66704,1,잠실
20250325,3,61,53764,1,잠실
20250325,4,61,55734,1,잠실
20250325,5,61,69737,1,잠실
20250325,6,61,79192,1,잠실
20250325,7,61,79608,1,잠실
20250325,8,61,50704,1,잠실
20250325,9,61,78288,1,잠실
20250325,10,61,64006,1,잠실
20250325,1,61,1,54119,잠실
20250325,2,61,66108,1,잠실
20250325,3,61,68110,1,잠실
20250325,4,61,53123,1,잠실
20250325,5,61,69102,1,잠실
20250325,6,61,79109,1,잠실
20250325,7,61,79365,1,잠실
20250325,8,61,52121,1,잠실
20250325,9,61,62415,1,잠실
20250325,10,61,69100,1,잠실
20250325,1,62,1,55536,문학
20250325,2,62,50500,1,문학
20250325,3,62,69517,1,문학
20250325,4,62,51551,1,문학
20250325,5,62,54529,1,문학
20250325,6,62,52591,1,문학
20250325,7,62,78513,1,문학
20250325,8,62,50150,1,문학
20250325,9,62,68205,1,문학
20250325,10,62,68518,1,문학
20250325,1,62,1,62869,문학
20250325,2,62,50854,1,문학
20250325,3,62,54812,1,문학
20250325,4,62,67893,1,문학
20250325,5,62,53827,1,문학
