team,player_id,player_name,AVG,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SB,CS,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,E,SB%,MH,OPS,RISP,PH-BA,SBA,power,contact,batting_eye,speed,style
LG,66162,김주성,0.5,8,4,4,2,2,0,0,1,5,1,0,1,0,0,0,0,0,0,0,1.25,0.5,1,0.0,0,1.75,0.0,1.0,1.0,0.519,0.545,0.572,0.515,4
LG,52105,김성우,0.333,3,3,3,0,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0.333,0.333,0,0.0,0,0.666,0.5,0.0,0.0,0.5,0.511,0.535,0.5,4
LG,52103,최원영,0.308,64,43,39,22,12,2,0,0,14,1,7,2,1,1,0,0,2,7,1,0.359,0.333,0,77.8,0,0.692,0.273,0.667,9.0,0.5,0.779,0.701,0.632,2
LG,76290,김현수,0.307,79,309,267,39,82,15,0,7,118,55,1,0,0,1,38,0,3,41,8,0.442,0.398,3,100.0,20,0.84,0.435,0.5,1.0,0.63,0.882,0.911,0.515,0
LG,65207,신민재,0.289,71,249,211,34,61,5,0,0,66,26,8,5,5,1,30,0,2,24,2,0.313,0.381,3,61.5,14,0.694,0.434,1.0,13.0,0.5,0.836,0.872,0.691,1
LG,69102,문보경,0.288,78,342,281,53,81,11,1,14,136,58,2,0,0,5,53,2,3,54,7,0.484,0.401,10,100.0,25,0.885,0.262,0.5,2.0,0.759,0.871,0.925,0.529,0
LG,79365,박동원,0.282,76,279,234,37,66,11,0,15,122,46,3,0,2,4,37,2,2,62,4,0.521,0.379,4,100.0,18,0.9,0.247,0.167,3.0,0.778,0.842,0.853,0.544,0
LG,68119,문성주,0.277,71,273,242,23,67,8,1,0,77,27,3,3,0,2,29,0,0,35,5,0.318,0.352,1,50.0,20,0.67,0.323,0.2,6.0,0.5,0.826,0.827,0.588,3
LG,53123,오스틴,0.272,75,314,265,52,72,12,0,20,144,55,2,0,0,5,44,6,0,45,7,0.543,0.369,4,100.0,19,0.912,0.25,0.0,2.0,0.87,0.847,0.878,0.529,0
LG,66108,홍창기,0.269,38,169,134,24,36,3,0,1,42,15,2,0,2,3,24,0,6,35,4,0.313,0.395,0,100.0,8,0.708,0.188,0.0,2.0,0.519,0.666,0.705,0.529,3
LG,62415,박해민,0.263,80,310,247,39,65,8,2,0,77,16,24,10,14,1,43,0,5,64,5,0.312,0.382,1,70.6,14,0.694,0.158,0.0,34.0,0.5,0.86,0.885,1.0,1
LG,52154,이주헌,0.25,42,96,76,15,19,1,0,3,29,6,0,0,1,0,12,0,7,20,0,0.382,0.4,1,0.0,5,0.782,0.118,0.25,0.0,0.556,0.678,0.718,0.5,3
LG,69100,구본혁,0.239,75,236,205,20,49,11,1,1,65,22,2,3,7,0,20,0,4,27,2,0.317,0.319,3,40.0,13,0.636,0.259,0.0,5.0,0.519,0.828,0.806,0.574,3
LG,68110,송찬의,0.217,64,161,143,18,31,9,1,3,51,20,2,2,1,1,8,0,8,47,3,0.357,0.294,1,50.0,7,0.651,0.243,0.273,4.0,0.556,0.744,0.664,0.559,3
LG,79109,오지환,0.214,63,214,187,23,40,11,0,6,69,26,5,3,5,4,15,0,3,55,1,0.369,0.278,3,62.5,10,0.647,0.25,0.167,8.0,0.611,0.746,0.677,0.618,0
LG,50054,천성호,0.208,35,92,77,13,16,6,1,0,24,8,0,1,0,0,11,0,4,13,1,0.312,0.337,2,0.0,3,0.649,0.217,0.0,1.0,0.5,0.642,0.673,0.515,4
LG,51100,이영빈,0.206,39,71,68,11,14,1,1,3,26,7,1,0,1,1,1,0,0,33,1,0.382,0.214,0,100.0,1,0.596,0.222,0.0,1.0,0.556,0.624,0.528,0.515,4
LG,54156,손용준,0.2,4,10,10,1,2,0,0,0,2,0,0,0,0,0,0,0,0,3,2,0.2,0.2,1,0.0,0,0.4,0.0,0.0,0.0,0.5,0.512,0.532,0.5,4
LG,50108,함창건,0.2,12,28,25,2,5,2,0,0,7,2,0,0,0,1,2,0,0,5,1,0.28,0.25,0,0.0,1,0.53,0.143,0.0,0.0,0.5,0.544,0.559,0.5,4
LG,67504,김민수,0.182,13,13,11,0,2,0,0,0,2,1,1,0,0,1,1,0,0,6,0,0.182,0.231,0,100.0,0,0.413,0.0,0.0,1.0,0.5,0.539,0.54,0.515,4
LG,52121,문정빈,0.179,19,31,28,5,5,0,0,2,11,4,0,0,0,0,1,0,2,9,0,0.393,0.258,0,0.0,1,0.651,0.111,0.333,0.0,0.537,0.565,0.559,0.5,4
LG,55167,김영우,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,75867,김진성,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,55164,박관우,0.0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,1,0.0,0,0.0,0.0,0.0,0.0,0.5,0.502,0.53,0.5,4
LG,53139,박명근,0.0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,51526,우강훈,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,50106,유영찬,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,61145,이우찬,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,69134,이정용,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,69108,이지강,0.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,63950,장현식,0.0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,,,0.5,3
LG,65905,최승민,0.0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.5,0.505,0.53,0.5,4
