team,player_id,player_name,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,NP,IP,H,2B,3B,HR,SAC,SF,BB,IBB,SO,WP,BK,R,ER,BSV,WHIP,AVG,QS
LG,50904,이종준,0.00,2,0,0,0,0,0,0,-,6,33,1 2/3,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0.60,0.000,0
LG,77263,김강률,1.46,12,0,0,1,0,1,4,1.000,51,182,12 1/3,7,1,0,0,0,0,8,0,9,0,0,2,2,0,1.22,0.167,0
LG,61145,이우찬,1.89,23,0,0,0,1,0,0,0.000,86,338,19,13,2,0,0,1,0,14,0,20,3,0,6,4,0,1.42,0.186,0
LG,55167,김영우,2.40,66,0,0,3,2,1,7,0.600,255,957,60,49,13,0,2,5,2,30,2,56,5,0,17,16,3,1.32,0.228,0
LG,50106,유영찬,2.63,39,0,0,2,2,21,1,0.500,177,672,41,31,7,0,2,1,1,23,3,52,3,0,14,12,1,1.32,0.208,0
LG,55130,톨허스트,2.86,8,0,0,6,2,0,0,0.750,184,713,44,39,7,1,2,1,1,16,1,45,1,0,15,14,0,1.25,0.238,5
LG,61101,임찬규,3.03,27,1,1,11,7,0,0,0.611,670,2490,160 1/3,163,38,3,9,5,4,40,1,107,1,0,61,54,0,1.27,0.265,15
LG,55146,치리노스,3.31,30,0,0,13,6,0,0,0.684,737,2809,177,173,26,1,5,8,1,36,0,137,4,0,71,65,0,1.18,0.253,17
LG,67143,손주영,3.41,30,0,0,11,6,0,0,0.647,644,2496,153,153,20,2,8,5,3,49,0,132,6,0,67,58,0,1.32,0.262,14
LG,75867,김진성,3.44,78,0,0,6,4,1,33,0.600,291,1235,70 2/3,61,7,3,7,2,7,24,1,63,1,0,28,27,7,1.20,0.236,0
LG,51111,송승기,3.50,28,0,0,11,6,0,0,0.647,629,2523,144,149,25,1,15,5,4,49,0,125,2,0,61,56,0,1.38,0.261,10
LG,65109,백승현,3.90,33,0,0,1,0,0,2,1.000,146,583,30,28,3,1,2,2,1,28,1,27,3,0,13,13,0,1.87,0.246,0
LG,54119,에르난데스,4.23,14,0,0,4,4,0,0,0.500,276,1142,66,53,14,0,7,0,5,24,0,73,3,0,32,31,0,1.17,0.219,7
LG,63950,장현식,4.35,56,0,0,3,3,10,5,0.500,234,884,49 2/3,65,16,1,4,3,0,21,1,38,4,0,27,24,1,1.73,0.317,0
LG,51526,우강훈,4.66,11,0,0,0,0,0,0,-,46,180,9 2/3,12,2,0,0,0,1,6,0,5,0,0,5,5,0,1.86,0.324,0
LG,53139,박명근,4.89,44,0,0,3,4,4,10,0.429,168,638,38 2/3,36,5,1,5,2,1,16,2,30,0,1,21,21,1,1.34,0.250,0
LG,69134,이정용,5.03,39,0,0,6,1,1,7,0.857,139,575,34,32,3,1,3,1,0,12,0,26,0,0,19,19,1,1.29,0.258,0
LG,68419,최채흥,5.28,13,0,0,0,1,0,2,0.000,132,507,29,35,6,2,3,0,1,14,0,21,2,0,17,17,0,1.69,0.302,0
LG,69108,이지강,5.32,43,0,0,1,2,3,4,0.333,211,883,47 1/3,50,9,2,4,0,1,24,0,39,1,1,29,28,1,1.56,0.270,0
LG,55122,김종운,5.40,2,0,0,0,0,0,0,-,7,31,1 2/3,2,0,0,2,0,0,0,0,2,0,0,3,1,0,1.20,0.286,0
LG,63145,배재준,5.54,14,0,0,0,0,0,1,-,56,234,13,9,4,0,1,0,1,7,0,14,1,0,8,8,0,1.23,0.191,0
LG,63248,함덕주,6.00,31,0,0,2,3,0,1,0.400,113,463,27,14,5,0,1,4,3,18,0,26,3,0,19,18,0,1.19,0.159,0
LG,55138,코엔 윈,7.04,5,0,0,1,1,0,0,0.500,107,408,23,28,7,0,4,2,1,4,0,8,0,0,19,18,0,1.39,0.295,1
LG,51154,김진수,9.00,4,0,0,0,0,0,0,-,27,104,5,11,3,0,2,0,0,1,0,6,0,0,5,5,0,2.40,0.423,0
LG,68159,성동현,9.00,12,0,0,0,0,0,0,-,45,201,9,10,0,0,2,1,0,9,0,6,1,0,9,9,0,2.11,0.286,0
LG,64596,김유영,12.46,6,0,0,0,0,0,0,-,26,108,4 1/3,8,3,0,0,1,0,4,0,5,0,0,6,6,0,2.77,0.400,0
LG,55121,박시원,13.50,2,0,0,0,0,0,0,-,9,35,1 1/3,0,0,0,0,0,0,5,0,0,0,0,2,2,0,3.75,0.000,0
LG,69159,정우영,20.25,4,0,0,0,0,0,0,-,13,56,2 2/3,1,0,0,1,0,0,4,0,3,0,0,6,6,0,1.88,0.125,0
LG,65411,김주온,27.00,1,0,0,0,1,0,0,0.000,5,23,1/3,0,0,0,0,0,0,2,0,1,0,0,1,1,0,6.00,0.000,0
HH,55730,폰세,1.89,29,0,0,17,1,0,0,0.944,697,2854,180 2/3,128,18,0,10,3,4,41,0,252,7,3,41,38,0,0.94,0.199,20
HH,65769,김범수,2.25,73,0,0,2,1,2,6,0.667,195,780,48,30,5,0,0,2,1,22,1,41,1,0,17,12,0,1.08,0.181,0
HH,61666,한승혁,2.25,71,0,0,3,3,3,16,0.500,269,1002,64,56,5,1,4,2,0,23,1,53,3,0,18,16,5,1.23,0.236,0
HH,55743,정우주,2.85,51,0,0,3,0,0,3,1.000,228,1007,53 2/3,34,6,1,6,3,2,21,0,82,3,1,18,17,0,1.02,0.177,0
HH,54755,와이스,2.87,30,0,0,16,5,0,0,0.762,725,2837,178 2/3,127,30,1,13,4,6,56,0,207,5,2,63,57,0,1.02,0.197,21
HH,51715,김기중,3.07,5,0,0,0,1,0,0,0.000,66,259,14 2/3,16,2,1,0,0,1,6,0,8,1,0,5,5,0,1.50,0.276,0
HH,53754,김서현,3.14,69,0,0,2,4,33,2,0.333,280,1124,66,52,7,3,4,5,2,31,3,71,7,0,23,23,4,1.26,0.222,0
HH,76715,류현진,3.23,26,0,0,9,7,0,0,0.563,574,2268,139 1/3,144,22,3,12,5,0,25,2,122,2,0,54,50,0,1.21,0.267,12
HH,63765,김종수,3.25,63,0,0,4,5,0,5,0.444,282,1104,63 2/3,57,17,1,5,4,5,36,1,59,2,1,30,23,0,1.46,0.245,0
HH,52731,박준영,3.60,1,0,0,0,0,0,0,-,24,110,5,3,0,0,0,0,1,6,0,3,0,0,2,2,0,1.80,0.176,0
HH,69213,윤산흠,3.78,12,0,0,0,0,0,0,-,73,268,16 2/3,16,5,0,1,0,0,5,0,17,1,1,7,7,0,1.26,0.246,0
HH,60768,이태양,3.97,14,0,0,0,1,0,0,0.000,51,181,11 1/3,14,5,0,0,1,0,5,1,8,0,0,5,5,1,1.68,0.318,0
HH,52701,문동주,4.02,24,1,0,11,5,0,0,0.688,501,1947,121,112,16,5,7,3,4,31,0,135,11,0,57,54,0,1.18,0.243,11
HH,54768,조동욱,4.05,68,0,0,3,3,2,5,0.500,283,1068,60,77,16,0,4,2,2,29,3,43,7,1,29,27,1,1.77,0.313,0
HH,67703,박상원,4.19,74,0,0,4,3,0,16,0.571,294,1128,66 2/3,67,14,1,4,4,4,21,0,52,4,0,35,31,3,1.32,0.261,0
HH,65707,주현상,5.18,48,0,0,5,2,1,3,0.714,193,776,41 2/3,59,14,2,8,2,0,10,0,37,1,0,25,24,2,1.66,0.331,0
HH,54729,황준서,5.30,23,0,0,2,8,0,0,0.200,242,1012,56,54,11,4,7,0,2,26,2,57,1,0,37,33,0,1.43,0.255,2
HH,65056,엄상백,6.58,28,0,0,2,7,0,1,0.222,379,1540,80 2/3,106,18,3,13,3,3,38,0,74,3,0,60,59,0,1.79,0.324,2
HH,65117,이상규,8.00,5,0,0,0,1,0,0,0.000,47,155,9,16,2,1,0,0,0,4,0,5,0,0,9,8,0,2.22,0.372,0
HH,55764,권민규,8.44,5,0,0,0,0,0,0,-,28,129,5 1/3,5,1,0,1,0,1,7,0,4,0,0,5,5,0,2.25,0.250,0
HH,50705,강재민,9.00,4,0,0,0,0,0,0,-,20,92,4,6,1,0,1,0,1,2,0,5,0,0,4,4,0,2.00,0.375,0
HH,54702,원종혁,16.20,2,0,0,0,0,0,0,-,10,37,1 2/3,3,0,0,1,0,1,2,0,1,0,0,3,3,0,3.00,0.429,0
HH,50711,김승일,23.63,5,0,0,0,0,0,0,-,17,68,2 2/3,3,0,0,1,0,0,3,0,3,1,0,7,7,0,2.25,0.273,0
LT,62528,김원중,2.67,53,0,0,4,3,32,0,0.571,272,1117,60 2/3,58,11,2,4,4,1,33,6,69,7,1,21,18,6,1.50,0.250,0
LT,64017,심재민,3.00,4,0,0,1,0,0,0,1.000,15,48,3,5,1,0,0,0,0,1,0,2,1,0,2,1,0,2.00,0.357,0
LT,50596,홍민기,3.09,25,0,0,0,2,0,3,0.000,129,510,32,24,5,1,0,0,2,11,0,39,1,0,13,11,0,1.09,0.211,0
LT,55532,감보아,3.58,19,0,0,7,8,0,0,0.467,475,1866,108,97,16,0,6,6,5,49,0,117,5,0,54,43,0,1.35,0.236,11
LT,55536,데이비슨,3.65,22,0,0,10,5,0,0,0.667,529,2100,123 1/3,123,20,2,10,4,2,48,0,119,4,1,53,50,0,1.39,0.262,11
LT,68556,정성종,3.86,2,0,0,0,0,0,0,-,10,37,2 1/3,3,1,0,1,0,0,0,0,0,0,0,1,1,0,1.29,0.300,0
LT,67539,나균안,3.87,28,0,0,3,7,0,0,0.300,601,2328,137 1/3,143,23,3,13,7,5,50,0,116,3,0,67,59,0,1.41,0.268,9
LT,54537,정현수,3.97,82,0,0,2,0,0,12,1.000,203,851,47 2/3,34,9,0,4,3,3,26,0,47,2,0,23,21,0,1.26,0.201,0
LT,65522,김강현,4.00,67,0,0,2,2,0,4,0.500,306,1135,72,69,15,1,9,2,4,21,0,36,4,0,37,32,0,1.25,0.254,0
LT,51594,송재영,4.00,46,0,0,1,0,0,3,1.000,121,491,27,19,4,0,3,1,2,24,0,28,2,0,13,12,0,1.59,0.202,0
