AB,R,H,RBI,HR,BB,SO,SB,player_id,team,game_id,date
4,0,0,0,0,0,2,0,50500,away,1,20250322
0,0,0,0,0,0,0,0,68507,away,1,20250322
4,0,0,0,0,0,1,0,69517,away,1,20250322
4,0,0,0,0,0,0,0,51551,away,1,20250322
4,1,2,0,0,0,0,0,54529,away,1,20250322
0,0,0,0,0,0,0,0,50608,away,1,20250322
3,1,1,0,0,1,0,0,52591,away,1,20250322
2,0,1,0,0,2,0,0,78513,away,1,20250322
4,0,2,2,0,0,2,0,50150,away,1,20250322
3,0,1,0,0,0,1,0,61102,away,1,20250322
1,0,0,0,0,0,0,0,68518,away,1,20250322
3,0,0,0,0,0,2,0,62802,away,1,20250322
1,0,0,0,0,0,0,0,52568,away,1,20250322
3,0,2,2,0,1,0,0,66108,home,1,20250322
0,0,0,1,0,0,0,0,52103,home,1,20250322
4,1,1,0,0,0,0,0,76290,home,1,20250322
1,0,0,0,0,0,0,0,68119,home,1,20250322
1,0,0,0,0,0,0,0,65905,home,1,20250322
5,1,1,1,0,0,1,0,53123,home,1,20250322
0,0,0,0,0,0,0,0,51526,home,1,20250322
5,3,2,2,1,0,1,0,69102,home,1,20250322
5,2,3,1,1,0,2,1,79109,home,1,20250322
4,1,3,1,0,0,1,0,68110,home,1,20250322
3,2,1,0,0,2,0,0,79365,home,1,20250322
0,0,0,0,0,0,0,0,52154,home,1,20250322
3,0,1,0,0,0,2,0,62415,home,1,20250322
1,0,0,0,0,0,1,0,52121,home,1,20250322
1,2,0,1,0,2,0,0,69100,home,1,20250322
1,0,1,1,0,0,0,0,65207,home,1,20250322
4,0,2,2,0,1,1,0,53554,away,2,20250322
5,0,2,2,0,0,2,0,78224,away,2,20250322
3,0,2,0,0,2,1,0,76232,away,2,20250322
4,0,0,0,0,1,2,0,55208,away,2,20250322
4,0,0,0,0,1,2,0,63123,away,2,20250322
5,1,0,0,0,0,2,0,64153,away,2,20250322
4,0,0,0,0,0,2,0,50208,away,2,20250322
0,0,0,0,0,0,0,0,67207,away,2,20250322
1,0,1,0,0,0,0,0,63257,away,2,20250322
0,0,0,0,0,0,0,0,54214,away,2,20250322
5,1,2,1,0,0,2,0,66928,away,2,20250322
1,3,0,0,0,3,0,0,79231,away,2,20250322
4,0,0,1,0,0,1,0,50854,home,2,20250322
3,0,0,0,0,1,1,0,54812,home,2,20250322
0,0,0,0,0,0,0,0,76802,home,2,20250322
4,1,1,0,0,0,0,0,53827,home,2,20250322
4,0,1,0,0,0,1,0,62895,home,2,20250322
2,1,1,0,0,0,0,0,79456,home,2,20250322
2,2,1,1,0,1,0,0,67893,home,2,20250322
3,1,1,1,0,0,2,0,69813,home,2,20250322
1,1,1,2,1,0,0,0,60558,home,2,20250322
4,0,2,1,0,0,1,0,51868,home,2,20250322
0,0,0,0,0,0,0,0,68805,home,2,20250322
3,0,0,0,0,1,1,0,54805,home,2,20250322
4,0,1,0,0,0,1,0,65357,away,3,20250322
1,0,0,0,0,0,0,0,78756,away,3,20250322
3,2,2,2,1,1,1,0,52366,away,3,20250322
4,0,1,0,0,0,1,0,50167,away,3,20250322
1,0,1,0,0,0,0,0,54305,away,3,20250322
4,0,3,1,0,0,1,0,54444,away,3,20250322
1,0,0,0,0,0,0,0,55371,away,3,20250322
4,0,1,0,0,0,1,0,76267,away,3,20250322
1,0,0,0,0,0,0,0,51359,away,3,20250322
3,0,1,0,0,0,0,0,64984,away,3,20250322
1,1,1,0,0,0,0,0,55397,away,3,20250322
3,1,1,1,1,0,1,0,55393,away,3,20250322
1,0,0,0,0,0,0,0,78135,away,3,20250322
4,0,0,0,0,0,1,0,50357,away,3,20250322
2,0,0,0,0,0,1,0,62332,away,3,20250322
2,1,2,1,0,0,0,0,53344,away,3,20250322
5,2,3,0,0,0,0,0,50458,home,3,20250322
1,0,0,0,0,0,1,0,67449,home,3,20250322
3,4,1,0,0,2,1,0,52415,home,3,20250322
4,3,3,4,1,1,0,0,62404,home,3,20250322
0,0,0,0,0,0,0,0,67005,home,3,20250322
5,1,2,2,0,0,1,0,74540,home,3,20250322
0,0,0,0,0,0,0,0,69428,home,3,20250322
4,1,3,2,0,0,0,0,54400,home,3,20250322
4,1,2,2,0,1,1,0,75125,home,3,20250322
2,0,0,0,0,0,2,0,65586,home,3,20250322
3,0,2,1,0,0,0,0,62234,home,3,20250322
5,0,1,1,0,0,2,0,52430,home,3,20250322
3,1,1,1,1,0,1,0,61404,home,3,20250322
2,0,0,0,0,0,0,0,68463,home,3,20250322
3,0,1,1,0,0,0,0,66704,away,4,20250322
3,0,0,0,0,0,1,0,53764,away,4,20250322
1,0,0,0,0,0,1,0,50707,away,4,20250322
4,0,0,0,0,0,0,0,55734,away,4,20250322
4,1,2,1,1,0,1,1,69737,away,4,20250322
3,0,1,0,0,0,0,0,79192,away,4,20250322
1,1,0,0,0,0,0,1,68700,away,4,20250322
3,0,0,0,0,0,1,0,79608,away,4,20250322
1,0,0,0,0,0,0,0,52769,away,4,20250322
2,0,0,0,0,0,2,0,50704,away,4,20250322
2,1,1,1,0,0,0,0,54795,away,4,20250322
1,0,0,0,0,1,1,0,78288,away,4,20250322
0,0,0,0,0,0,0,1,52704,away,4,20250322
2,0,0,0,0,0,1,0,76812,away,4,20250322
3,1,1,1,0,1,1,1,64006,away,4,20250322
5,1,2,0,0,0,1,0,68050,home,4,20250322
0,0,0,0,0,0,0,0,67006,home,4,20250322
5,0,1,0,0,0,1,0,67025,home,4,20250322
5,0,3,0,0,0,1,0,79240,home,4,20250322
4,0,2,1,0,0,0,0,64004,home,4,20250322
4,0,0,0,0,0,2,0,78548,home,4,20250322
3,1,1,0,0,1,0,0,64007,home,4,20250322
0,0,0,0,0,0,0,1,50092,home,4,20250322
0,0,0,0,0,0,0,0,76313,home,4,20250322
3,0,1,0,0,0,0,0,50054,home,4,20250322
1,0,0,0,0,0,1,0,64504,home,4,20250322
2,0,0,1,0,0,0,0,64166,home,4,20250322
4,1,2,1,1,0,1,0,79402,home,4,20250322
5,0,1,0,0,0,1,0,62907,away,5,20250322
5,1,2,0,0,0,2,0,51907,away,5,20250322
3,1,1,0,0,1,0,0,77532,away,5,20250322
0,0,0,0,0,0,0,0,62934,away,5,20250322
3,0,0,0,0,1,1,0,54944,away,5,20250322
4,0,1,2,0,0,0,0,79215,away,5,20250322
2,0,0,0,0,1,1,0,63963,away,5,20250322
2,0,0,0,0,0,0,0,66965,away,5,20250322
1,0,0,0,0,0,1,0,67905,away,5,20250322
1,0,1,0,0,0,0,0,69995,away,5,20250322
3,0,1,0,0,0,2,0,68912,away,5,20250322
1,0,0,0,0,0,1,0,62244,away,5,20250322
3,0,0,0,0,0,1,0,51344,away,5,20250322
1,0,0,0,0,0,1,0,50903,away,5,20250322
4,1,0,0,0,1,0,0,64646,home,5,20250322
2,0,1,0,0,0,0,0,52605,home,5,20250322
1,0,0,0,0,0,0,0,52667,home,5,20250322
2,0,0,0,0,0,0,0,50600,home,5,20250322
4,1,1,1,0,0,2,0,62947,home,5,20250322
0,0,0,0,0,0,0,0,52641,home,5,20250322
3,1,0,0,0,1,1,0,55645,home,5,20250322
4,0,1,2,0,0,1,0,72443,home,5,20250322
0,1,0,0,0,0,0,0,55636,home,5,20250322
3,1,2,2,0,1,0,0,78603,home,5,20250322
0,1,0,0,0,0,0,0,66614,home,5,20250322
3,0,2,0,0,0,0,0,63260,home,5,20250322
1,1,1,0,0,0,0,0,67609,home,5,20250322
2,0,1,1,0,0,0,0,78122,home,5,20250322
2,1,1,3,1,0,0,0,68646,home,5,20250322
4,1,2,0,0,0,1,0,66606,home,5,20250322
3,0,0,0,0,1,0,0,52591,away,6,20250323
4,0,0,0,0,0,1,0,50150,away,6,20250323
4,0,0,0,0,0,1,0,78513,away,6,20250323
3,0,1,0,0,1,0,0,54529,away,6,20250323
0,1,0,0,0,0,0,0,68507,away,6,20250323
4,1,1,0,0,0,2,0,51551,away,6,20250323
2,0,0,0,0,2,0,0,60523,away,6,20250323
2,0,0,0,0,0,1,0,61102,away,6,20250323
2,0,2,1,0,0,0,0,68518,away,6,20250323
4,0,0,0,0,0,2,0,69517,away,6,20250323
3,0,2,1,0,0,0,0,68205,away,6,20250323
4,1,1,0,0,0,1,0,66108,home,6,20250323
1,1,1,2,1,0,0,0,52121,home,6,20250323
