day,time,team1,team1_score,team1_result,team2,team2_score,team2_result,stadium,note
2025.03.22,14:00,롯데,2,패,LG,12,승,잠실,-
2025.03.22,14:00,두산,5,패,SSG,6,승,문학,-
2025.03.22,14:00,키움,5,패,삼성,13,승,대구,-
2025.03.22,14:00,한화,4,승,KT,3,패,수원,-
2025.03.22,14:00,NC,2,패,KIA,9,승,광주,-
2025.03.23,14:00,롯데,2,패,LG,10,승,잠실,-
2025.03.23,14:00,두산,2,패,SSG,5,승,문학,-
2025.03.23,14:00,키움,7,패,삼성,11,승,대구,-
2025.03.23,14:00,한화,4,패,KT,5,승,수원,-
2025.03.23,14:00,NC,5,승,KIA,4,패,광주,-
2025.03.25,18:30,한화,0,패,LG,5,승,잠실,-
2025.03.25,18:30,롯데,3,승,SSG,2,패,문학,-
2025.03.25,18:30,NC,5,패,삼성,14,승,대구,-
2025.03.25,18:30,두산,3,패,KT,8,승,수원,-
2025.03.25,18:30,키움,6,패,KIA,11,승,광주,-
2025.03.26,18:30,한화,0,패,LG,4,승,잠실,-
2025.03.26,18:30,롯데,1,패,SSG,3,승,문학,-
2025.03.26,18:30,NC,8,승,삼성,6,패,대구,-
2025.03.26,18:30,두산,3,승,KT,2,패,수원,-
2025.03.26,18:30,키움,17,승,KIA,10,패,광주,-
2025.03.27,18:30,한화,1,패,LG,2,승,잠실,-
2025.03.27,18:30,롯데,2,패,SSG,5,승,문학,-
2025.03.27,18:30,NC,11,승,삼성,5,패,대구,-
2025.03.27,18:30,두산,3,패,KT,4,승,수원,-
2025.03.27,18:30,키움,5,승,KIA,3,패,광주,-
2025.03.28,18:30,삼성,0,패,두산,2,승,잠실,-
2025.03.28,18:30,KT,2,승,롯데,0,패,사직,-
2025.03.28,18:30,LG,8,승,NC,4,패,창원,-
2025.03.28,18:30,SSG,3,패,키움,9,승,고척,-
2025.03.28,18:30,KIA,2,패,한화,7,승,대전(신),-
2025.03.29,14:00,SSG,1,패,키움,3,승,고척,-
2025.03.29,14:00,KIA,4,패,한화,5,승,대전(신),-
2025.03.29,17:00,삼성,13,승,두산,2,패,잠실,-
2025.03.29,17:00,KT,1,패,롯데,3,승,사직,-
2025.03.29,17:00,LG,14,승,NC,4,패,창원,-
2025.03.30,14:00,삼성,3,승,두산,2,패,잠실,-
2025.03.30,14:00,KT,4,무,롯데,4,무,사직,-
2025.03.30,14:00,LG,,,NC,,,창원,기타
2025.03.30,14:00,SSG,8,승,키움,2,패,고척,-
2025.03.30,14:00,KIA,5,승,한화,3,패,대전(신),-
2025.04.01,18:30,키움,,,두산,,,잠실,-
2025.04.01,18:30,SSG,,,NC,,,창원,기타
2025.04.01,18:30,LG,,,KT,,,수원,기타
2025.04.01,18:30,삼성,,,KIA,,,광주,기타
2025.04.01,18:30,롯데,,,한화,,,대전(신),기타
2025.04.02,18:30,키움,3,패,두산,5,승,잠실,-
2025.04.02,18:30,SSG,,,NC,,,창원,기타
2025.04.02,18:30,LG,5,패,KT,9,승,수원,-
2025.04.02,18:30,삼성,4,승,KIA,2,패,광주,-
2025.04.02,18:30,롯데,6,승,한화,2,패,대전(신),-
2025.04.03,18:30,키움,1,패,두산,6,승,잠실,-
2025.04.03,18:30,SSG,,,NC,,,창원,기타
2025.04.03,18:30,LG,5,승,KT,1,패,수원,-
2025.04.03,18:30,삼성,1,패,KIA,3,승,광주,-
2025.04.03,18:30,롯데,4,승,한화,2,패,대전(신),-
2025.04.04,18:30,KIA,2,패,LG,8,승,잠실,-
2025.04.04,18:30,KT,2,패,SSG,3,승,문학,-
2025.04.04,18:30,두산,15,승,롯데,3,패,사직,-
2025.04.04,18:30,한화,0,패,삼성,5,승,대구,-
2025.04.04,18:30,NC,1,패,키움,5,승,고척,-
2025.04.05,14:00,KIA,,,LG,,,잠실,-
2025.04.05,14:00,한화,7,승,삼성,6,패,대구,-
2025.04.05,17:00,KT,,,SSG,,,문학,우천취소
2025.04.05,17:00,두산,1,패,롯데,6,승,사직,-
2025.04.05,17:00,NC,7,승,키움,5,패,고척,-
2025.04.06,14:00,KIA,1,패,LG,5,승,잠실,-
2025.04.06,14:00,KT,0,패,SSG,1,승,문학,-
2025.04.06,14:00,두산,15,승,롯데,12,패,사직,-
2025.04.06,14:00,한화,0,패,삼성,10,승,대구,-
2025.04.06,14:00,NC,8,승,키움,2,패,고척,-
2025.04.08,18:30,한화,5,패,두산,6,승,잠실,-
2025.04.08,18:30,KIA,5,승,롯데,4,패,사직,-
2025.04.08,18:30,SSG,3,패,삼성,7,승,대구,-
2025.04.08,18:30,NC,2,패,KT,3,승,수원,-
2025.04.08,18:30,LG,13,승,키움,1,패,고척,-
2025.04.09,18:30,한화,5,승,두산,4,패,잠실,-
2025.04.09,18:30,KIA,3,승,롯데,1,패,사직,-
2025.04.09,18:30,SSG,3,승,삼성,1,패,대구,-
2025.04.09,18:30,NC,1,패,KT,4,승,수원,-
2025.04.09,18:30,LG,0,패,키움,4,승,고척,-
2025.04.10,18:30,한화,7,승,두산,2,패,잠실,-
2025.04.10,18:30,KIA,3,패,롯데,8,승,사직,-
