IP,H,R,ER,BB,SO,HR,BF,AB,NP,player_id,team,game_id,date
3.0,8,7,7,3,2,1,20,15,81,52528,away,1,20250322
1.333,1,2,0,1,2,0,7,6,35,65522,away,1,20250322
1.333,1,0,0,2,2,0,7,5,33,51594,away,1,20250322
1.333,1,0,0,1,1,0,6,5,18,54503,away,1,20250322
1.0,4,3,3,0,1,1,7,6,20,76430,away,1,20250322
6.0,5,2,2,3,8,0,26,23,103,55146,home,1,20250322
1.0,0,0,0,0,0,0,3,3,6,75867,home,1,20250322
1.0,1,0,0,0,0,0,4,4,11,53139,home,1,20250322
1.0,1,0,0,0,0,0,3,3,12,51526,home,1,20250322
5.0,7,4,4,3,6,0,25,20,92,55257,away,2,20250322
1.333,0,0,0,0,0,0,4,4,13,67266,away,2,20250322
0.333,0,0,0,0,0,0,1,1,3,65639,away,2,20250322
0.333,0,0,0,0,0,0,1,1,5,52204,away,2,20250322
1.0,1,2,2,2,1,1,6,4,26,66291,away,2,20250322
3.667,4,4,4,4,4,0,19,15,88,54833,home,2,20250322
0.667,1,0,0,0,2,0,3,3,12,68092,home,2,20250322
1.333,0,0,0,0,2,0,4,4,16,53892,home,2,20250322
0.0,0,1,1,2,0,0,2,0,10,51867,home,2,20250322
1.0,1,0,0,1,3,0,5,4,23,68043,home,2,20250322
1.0,2,0,0,1,2,0,6,5,27,73211,home,2,20250322
1.333,1,0,0,0,1,0,5,5,17,51897,home,2,20250322
3.0,8,8,8,4,4,1,21,17,74,55322,away,3,20250322
1.0,4,2,2,0,2,0,7,7,25,54362,away,3,20250322
4.0,6,3,3,1,3,1,19,17,72,69360,away,3,20250322
6.0,8,2,2,1,5,1,26,25,90,53375,home,3,20250322
1.0,3,2,2,0,2,1,6,6,22,53455,home,3,20250322
2.0,3,1,1,1,1,0,9,8,39,73801,home,3,20250322
5.0,7,2,2,1,4,0,22,20,87,55730,away,4,20250322
1.0,1,0,0,1,1,0,5,4,20,67703,away,4,20250322
1.0,1,0,0,0,0,0,4,4,11,53754,away,4,20250322
1.0,1,0,0,0,1,0,4,4,13,61666,away,4,20250322
1.0,2,1,1,0,1,1,4,4,18,65707,away,4,20250322
6.0,2,1,1,2,7,0,22,20,94,54354,home,4,20250322
0.667,3,2,2,0,1,0,5,5,19,65048,home,4,20250322
0.667,1,1,1,1,1,1,4,3,18,54063,home,4,20250322
0.667,0,0,0,0,0,0,2,2,8,69041,home,4,20250322
1.0,0,0,0,0,0,0,3,3,17,73117,home,4,20250322
