stadium,restaurant_name,address,note
광주,명화식육식당,광주 광산구 평동로 421,"얼마 전 <최자 로드>에도 소개된 40년 노포. 애호박 돼지찌개 하나만 판매하며, 푸짐한 재료와 자극적이지 않으면서 맛있게 매운 맛이 특징. 웨이팅이 심하니 방문 전 확인 필요."
광주,농성화로,광주 서구 군분로 228,"나성범 선수 추천 맛집. 초벌 생오겹살의 숯불 향과 매콤달콤한 비빔국수의 조합이 일품."
광주,산수쌈밥,광주 동구 동계로 11,"단돈 만 원으로 푸짐한 쌈밥 정식을 즐길 수 있는 가성비 맛집. 기아 투수진 단골. 우렁이쌈밥정식과 수육, 우렁이회무침의 조합이 인기."
광주,청와대,광주 북구 천변우로79번길 83,"신선한 해산물과 곡성산 채소 사용. 우삼겹짬뽕은 콩나물로 느끼함을 잡아 시원하고 얼큰. 케첩을 사용한 탕수육도 별미."
광주,진식당,광주 북구 중흥로 105,"기아 및 타 팀 선수들 모두 즐겨 찾는 한식 맛집. 생선조림, 간장게장, 특히 칼칼하고 감칠맛 나는 갈치조림이 인기."
창원,억만장자,경남 창원시 마산합포구 산호북17길 63,"닭갈비 전문점으로 푸짐한 고기와 정갈한 반찬이 인상적이다."
창원,새제일식당,마산합포구 회원천북길 525,"박민우 선수가 추천한 식당으로, 구창모와 이재학 선수도 자주 찾는 곳이다. 된장찌개와 청국장이 인기 메뉴이며, 용마고 인근에 위치해 있다."
창원,평양냉면,경남 창원시 마산회원구 양덕옛2길 73 석전오피스텔101호,"냉면 전문점이지만 매운 소갈비찜이 대표 메뉴로, 마산역 근처에 위치해 접근성이 좋다."
창원,전복국수,경남 창원시 마산합포구 자산남로 26 1층,"자산동 대표 맛집으로 유명해져 양의지 선수가 먹지 못했다는 일화가 있을 정도다. 소고기초밥과 전복국수 모두 인기다."
창원,등대집,경남 창원시 마산합포구 가포해안길 51,"가포 해안가에 위치한 장어 전문점으로, 선수들도 즐겨 찾는 곳이다. 대중교통보다는 차량 방문이 편리하다."
대전(신),정식당,대전광역시 중구 중앙로130번길 37-13,"큼직한 닭과 대파, 얇게 썬 감자가 인상적인 닭볶음탕 전문점이다. 양념은 꽤 매운 편이라 주의가 필요하며, 감자가 으깨지지 않도록 국자는 사용하지 않는 것이 좋다."
대전(신),수정삼겹살,대전광역시 중구 오류동 158-6,"노시환 선수가 단골로 찾는 삼겹살 전문점으로, 종종 한화 이글스 선수들을 목격할 수 있다. 돌판에 구운 삼겹살을 김치와 함께 즐기고, 매운김치라면과 냉면으로 마무리하는 것이 인기 루틴이다."
대전(신),보강집,대전광역시 중구 계백로1603번길 46,"문동주 선수가 강력 추천한 식당으로, 육회, 육사시미, 차돌박이, 곱창전골이 메인 메뉴다. 19가지 재료로 만든 특제소스와 잡내 없는 깔끔한 곱창전골이 인기다."
대전(신),원조황소집,대전광역시 중구 대종로460번길 25,"류현진 선수가 자주 찾는 고깃집으로, 매장 곳곳에서 유명인들의 사인을 찾아볼 수 있다. 돼지와 꼼장어의 숯불구이 메뉴가 대표적이며 훈연 향이 가득하다."
대전(신),오한순 손 수제비,대전 서구 신갈마로230번길 36,"채은성 선수가 이글스TV에서 소개한 수제비 전문점으로, 얼큰하고 칼칼한 국물 맛이 특징이다."
잠실,고박사,송파구 백제고분로7길 8,"이대형 선수가 20년간 찾은 LG트윈스 단골 맛집으로, 경기 후 방문하는 선수들이 많아 'LG트윈스 식당'이라 불린다. 간장버터계란밥과 김치찌개 조합의 '이대형 메뉴'가 대표 인기 메뉴다."
잠실,신천생태찌개,서울 송파구 올림픽로8길 32 대양빌딩 1층,"30년 전통의 생태탕 전문점으로, 진하게 우러난 국물과 탱탱한 생태살이 특징이다. 냄비밥과 누룽지까지 제공되어 만족도가 높으며, 안주류도 훌륭해 반주와 함께 즐기기 좋다."
잠실,부농 정육식당,송파구 삼전동 백제고분로28길 29,"삼전동 먹자골목의 터줏대감으로, 한우1+ 이상의 소고기 특수부위만 사용하는 정육식당이다. 선수들의 사인과 싸인볼이 가득하며, 된장라면은 꼭 맛봐야 할 별미다."
잠실,신천대도갈비,송파구 잠실본동 백제고분로7길,"숯불 양념 돼지갈비가 대표 메뉴인 맛집으로, 야구 선수들의 사진과 기념품이 가득한 인테리어가 인상적이다. 된장찌개와 계란찜이 서비스로 제공되며 냉면도 별미다."
잠실,운집,송파구 올림픽로32길 41,"두산 이현승 선수가 은퇴 후 운영하는 갈빗집으로, 금요일이나 주말에는 직접 고기를 구워준다. ‘운집 더미 우대’가 대표 메뉴이며, 함께 제공되는 코리안 토마토 스튜와 양념게장도 인기다."
